Ensino Básico;Ensino Superior;Curso de Idiomas;Edução Profissional Técnico;Curso Preparatório;Curso Livre
"CENTRO EDUCACIONAL ADVENTISTA MILTON AFONSO CNPJ:60.833.910/0053-08
SGAS 611 Módulo 75 L2 SUL ASA SUL Tel:(61) 3345-7080
Desconto: 15% DESC";"UNIÃO EDUCACIONAL DO PLANALTO CENTRAL (UNIPLAC) CNPJ:00.720.114/0001-12
SHIS Qi 07, Conj. 10, Bloco E -Lago Sul, Brasília-DF. CEP 71715-300 Tel:(61) 3248-5100
www.faciplac.edu.br
Desconto:30%";"CNA PARQUELÂNDIA-MILENIUM EMPREENDIMENTOS EDUCACIONAIS CNPJ:00.566.937/0001-29
Rua José Sombra, 552, Parque Araxá Tel:(85) 3272-5444
supervisaopq@cnafortaleza.com.br Desconto:20% DE DESC";"EDUCÀRE APOIO TÉCNICO PEDAGÓGICO S/C LTDA
CNPJ:96.484.985/0001-47
Rua Tepompo de Vasconcelos, 57 - Vila Adyanna, São José dos Campos-SP.
CEP 12243-830
educare@vivax.com.br
Desconto:10%  + 5% PARENTES; 5% ANUAL OU SEM.";;
"CENTRO EDUCACIONAL MARIA AUXILIADORA -CEMA CNPJ:00.036.541/0001-70
SHIGS 702 BLOCO CASA SUL Tel:(61) 3224-5365/3224-5315
www.cemaeduc.com.br
Desconto:
10% DESC MATUTINO, 15% MAIS DE UM FILHO E 20% VESPERTINO";"FACULDADE EVANGÉLICA DE BRASÍLIA CNPJ:05.269.949/0001-30
SGAS QD 910, Conj E, Lotes 33 e 34, Brasília-DF. CEP 70390-100
Tel:(61) 3704.8700
Desconto:10%";"CNA - MR IDIOMAS E NEGÓCIOS LTDA-ME CNPJ:12.495.382/0001-50
Av. Três Corações, nº01, Bairro Cidade Nova, Ananindeua - Belém. CEP 67130-850 Desconto:30%";"VELVET COMERCIAL
Desconto:10% a 12% NOS TREINAMENTO DE CAPACITAÇÃO";;
"COLÉGIO JK CNPJ:26.413.361/0001-22
SEPN, QD 513, Bloco ""D"", nº 38, Edifício Imperador, Salas 1070 e 109, Asa Norte, CEP 70060-524
Tel:(61) 3349-4195
Desconto:10% a 40%";"CENTRO DE TREINAMENTO E DESENVOLVIMENTO CNPJ:07.875.818/0001-05
Av. da Universidade, 2932, Benfica, Fortaliza-CE.
CEP 60020-181
www.cetrede.com.br cetrede@cetrede.com.br Desconto:15% MENS.";"ALIANÇA FRANCESA BELÉM - ASSOCIAÇÃO DE CULTURA FRANCO BRASILEIRA CNPJ:05.073.077/0001-05
Tv. Rui Barbosa, nº1851 - Bairro Batista Campos, Belém - PA. CEP 66.035-220. Tel:(91) 3224-3998/3224-3198 www.afbelem.com
Desconto: 30%";"INSTITUTO MONITOR
Desconto:10%";;
"ESCOLA GOLFINHO DOURADO LTDA
CNPJ:07.307.111/0001-75SHC/NORTE EQ 116/316, Bloco C -Asa Norte, Brasília-DF. CEP 70775-000 Tel:(61) 3274-0635/3349-2263
Desconto:10% EDUC INFANTIL";"CENTRO DE ENSINO SUPERIOR RATIO -FACULDADE RATIO CNPJ:03.529.230/0001-30
Rua Isac Amaral, 420 -Dionísio Torres -Fortaleza-CE Tel:(85)3021-5553
www.ratio.edu.br ratio@ratio.edu.br Desconto:25% MENS.";"WIZARD PIEDADE -SUCESSO SERVIÇOS DE CURSOS LIVRES CNPJ:08.727.176/0001-51
Av. Bernardo Vieira de Melo, nº2590, Piedade- Jaboatão dos Guararapes - PE. CEP 54.410-010 Tel:(81)3361-0828 direção@wizard.srv.br
Desconto:40% DESC nas parcelas mensais, para contrato anual, dos planos kids, teens, class e flex.";"INSTITUTO BARREIROS DE FISIOTERAPIA
Rua Pedroso de Moraes, 3256, São Paulo.Tel:(11) 3884-0539
Desconto:30% PARC; 2 BOLSAS DE 100%";;
"MEU PEQUENO MUNDO -SOCIEDADE BRASILIENSE DE EDUCAÇÃO INFANTIL CNPJ:00.521.765/0001-77
EQS 216/416, Bloco C - Asa Sul -Brasília-DF. CEP 70295-400 Tel:(61) 3245-5333
Desconto:10% EDUC INFANTIL";"EMPREENDIMENTO EDUCACIONAL MARACANAÚ LTDA - FAMETRO CNPJ:03.884.793/0001-47
Rua Conselheiro Estelita, 500, Fortaleza -CE Tel:(85) 3206-6414
www.fametro.com.br
Desconto:10 a 15% de DESC(VARIA COM O CURSO)";"FISK CENTRO DE ENSINO- CAPACITAÇÃO E DESENVOLVIMENTO DE ENSINO CNPJ:07.654.586/0001-57
Rua Dr. José Marcelino 61 Bairro da Madalena, Recife - PE Tel:(81) 3125-3071 recifemadalena.pe@escolasfisk.com.br
Desconto:30 a 35%";"INSTITUTO NACIONAL DE EDUCAÇÃO A DISTANCIA - INED -LAUDERAPARTICIPAÇÕES LTDA
CNPJ:65.524.803/0001-90
Praça Marechal Deodoro, 356, Santa Cecíliatel:(11) 3823-2222
www.institutonacional.com.br Desconto: 20%";;
"CENTRO EDUCACIONAL TECNOLÓGICO BRASILEIRO CNPJ: 07.325.913/0001-77
SGAS Qd 603, Conj. C, 1º andar - Asa Sul, Brasília-DF. CEP 70200-630 Tel:(61) 3218-8300
Desconto: 10% PARA CURSOS DE APERFEIÇOAMENTO PROFISSIONAL";"CURSO DE MEDIAÇÃO DE CONFLITOS E FAMILIAR- SABER ON LINE CNPJ:08.201.095/0001-13
Av. Álvares Cabral, nº 397, Sala 8094, Centro - Belo Horizonte-MG. CEP 30170-000 Tel:(31) 3267-3526 contato@saberonline.net
Desconto:16,5%";"WIZARD DERBY- KLB IDIOMAS LTDA CNPJ:40.823.791/0001-74
Rua Governador Carlos de Lima Cavalcanti, 217, Derby, Recife. CEP50.070-110 Tel:(85) 3421-7055 direção@wizard.srv.br kiwizard2001@yahoo.com.br
Desconto:40% DESC nas parcelas mensais, para contrato anual, dos planos kids, teens, class e flex. Pagamento em cartão de crédito ou cheque.";;;
"COLÉGIO JK CNPJ:04.978.818/0001-34
Área Especial nº 14, Setor Central Gama, Brasília-DF. CEP 724950169 Tel:(61) 3384-6080
Desconto:10% À 40%";"CENTRO DE EXCELÊNCIA IDEAL S/S LTDA CNPJ:05.647.513/0001-02
Travessa São Francisco, 421, Batista Campos-PB. CEP 66023-530 Tel:(91) 3323-0693 www.fgvideal.com.br comercial@fgvideal.com.br Desconto:10%";"VALESAN CURSOS DE IDIOMAS LTDA – BRISTISH AND
CNPJ: 12.227.244/0001-90
Rua Manaí, 50 – Campo Grande - RJTel: (21) 2411-09179 www.britishandamerican.com.br rio.eg@britishandamerican.com.brDesconto: 54%";;;
"COLÉGIO JK CNPJ:07.001.188/0001-31
Área Especial nº 17, Setor Central Gama, Brasília-DF. CEP 70405-170 Tel:(61) 3385-0934
Desconto: 10% À 40%";"INSTITUTO DE ESTUDOS SUPERIORES DA AMAZÔNIA (IESAM) CNPJ:03.137.964/0001-74
Av. Governador José Malcher nº 1148, Nazaré, Belém-PA. CEP 66055-260 Tel: (91)4005-5400 www.iesam-pa.edu.br
Desconto: 20, 15 E 10%";"UPTIME – VYASA IDIOMAS
CNPJ:11.224.683/0001/87
Rua Passo da Pátria, 179, Sala 201, Duque de Caxias-RJ.CEP 25071-220Tel: (21)2772-2511 www.uptimesite.com.br        duq@uptimesite.com.br
Desconto: 40% à 68%";;;
"COLÉGIO DARWIN CNPJ:07.318.056/0001-82
Rua Ildelfonso Albano, 1030, Aldeota, Fortaleza-CE CEP 60115-000 Tel:(85) 3221-2820
www.colegiodarwin.com.br
Desconto:25% a 45% conforme turno e quantidade de filhos";"INSTITUTO CAMPINENSE DE ENSINO SUPERIOR - ICES CNPJ:95.933.016/0001-70
Rua Prefeito Antonio Carvalho de Souza s/n, Estação Velha, Campina Grande-PB. Desconto:13%";"CENTRO DE CULTURA ANGLO AMERICANA- CCAA
CNPJ: 04.794.883/0001-00
Rua Haddock Lobo, 397 – Tijuca – RJ CEP: 20260-131Tel: (21)2568-7048 Desconto:30%";;;
"COLÉGIO IRMÃ MARIA MONTENEGRO CNPJ:06.750.350/0001-51
Rua Pinho Pessoa, 681, Joaquim, Távora, Fortaleza-CE. CEP 60130-175 Tel:(85) 4008-6700
www.portalcimm.com.br cimm@portalcimm.com.br
Desconto:15% P/1, 20% P/2, 25% P/3, 30% P/4 EM TODOS OS CURSOS";"CENTRO NACIONAL DE ENSINO SUPERIOR - CENESUP
CNPJ:05.474.470/0001-00 Av. Almirante Barroso, nº 883, João Pessoa-PB. Desconto:15%";"ESCCI – CENTRO CULTURAL DE IDIOMAS E.H.M. SCHUTZ
CNPJ:31.838.964/0001-37
Rua São Clemente nº 94, Conj 1204, Centro Niterói-RJ. CEP24020-102Tel:(21) 2717-8325 WWW.ESCCI.COM.BR
Desconto: 20% e 50%";;;
"COLÉGIO ROSA GATTORNO-INSTITUTO DE ENSINO DOM HELDER CNPJ:08.845.409/0001-10
Rua Conselheiro Estelita, 264, Bairrro Jacarecanga, Fortaleza-CE. CEP 60000-000 Tel:(85) 3238-5049
www.crgattorno.com.br
Desconto:1 20%, 2 25%, 3 30% DESC NO ED INF ENS FUND E MED";"UNIBRATEC- ASBRATEC ASSOCIAÇÃO BRASILEIRA DE TECNOLOGIA
CNPJ:07.935.866/0001-33 Av Marechal Mascarenhas de Morais, 4989, sala 2, Imbiribeira Tel:(81) 3339-0998 www.unibratec.edu.br comercial@unibratec.edu.br
Desconto:20 a 40%";"ALIANÇA FRANCESA – RIO DE JANEIRO
CNPJ: 33.075722/0001-64
Rua Muniz Barreto, 746-746/A – Botafogo - RJTel: (021) 3299-2000 Fax: 3299- 2005
www.rioaliancafrancesa.com.brDesconto: 25%";;;
"COLÉGIO SANTO TOMÁS DE AQUINO CNPJ:07.297.093/0001-53
Rua Mario Mamede, 750, Bairro de Fátima Tel:(85) 4012-6400
www.tomazdaquino.com.br
Desconto: 15% a 45% DEPENDENDO DA QUANTIDADE DE FILHOS MATRICULADOS E CICLO ESCOLAR";"IBRATEC- INSTITUTO BRASILEIRO DE TECNOLOGIA
CNPJ:70.177.159/0001-61 Av Marechal Mascarenhas de Morais, 4989, sala 2 - Imbiribeira Tel:(81) 3339-0998 www.unibratec.edu.br comercial@unibratec.edu.br
Desconto:10 a 36%";"CURSO DE IDIOMAS ALL - EFEMESE ENSINO DE IDIOMAS LTDA
CNPJ:04.950.568/0001-24
Rua José Bonifácio, 888, Todos Santos-RJ. CEP 20770-240Tel:(21) 3271-8040 www.allonline.com.br meier@allonline.com.brDesconto: 30%";;;
"SOCIEDADE EDUCADORA AGNUS -COLÉGIO AGNUS CNPJ:03.620.696/0001-47
Rua Teodorico Barroso, 827, Bairro Montese, Fortaleza-CE. CEP 60420-120 Tel:(85) 3491-2746
www.colegioagnus.com.br colegio.agnus@gmail.com
Desconto: 20%(1 FILHO), 25%(2 FILHOS) e 30%(3 FILHOS)";"FACULDADE CNEC ILHA DO GOVERNADOR
CNPJ:33.621.384/0039-91
Estrada do Galeão, s/nº – Ilha do Governador – RJ – CEP: 21941-291Tel:(21) 3975.6803, 3975.6807
www.cnec.br    marianasousa@cnecrj.com.brDesconto: 20% todos os cursos de Ens. Sup.";"CENTRO DE ENSINO DE IDIOMAS LTDA
CNPJ: 03.789.381/0001-28
Rua Uranos, 1438 LJ-A – Olaria – RJ CEP:21060-004Tel: (21) 2573-5676
olaria@allonline.com.br/site
Desconto: 60% Cursos Inglês e Espanhol";;;
"COLÉGIO 21 DE ABRIL CNPJ:09.008.455/0001-28
Rua Benjamim Barroso, 820, Monte Castelo Tel:(85) 4006-0800
secretaria@colegio21deabril.com.br
Desconto:28% ANUIDADE A VISTA E 22% ANUIDADE PARCELADA";"UNIVERSIDADE VEIGA DE ALMEIDA (UVA)
CNPJ: 034185306/0001-81
Rua Ibituruna nº 108 – Tijuca - Rio de Janeiro – RJ CEP:20271-020Tel: (21) 2574-8965 Fax: 2574- 8939
www.uva.br  niue@uva.br
Desconto: 10% à 25% CONFORME CURSO, ESPECIALIDADE E CAMPUS";"DREAM UP IDIOMAS E INFORMÁTICA
CNPJ:04.497.524/0001-90
Rua Nicarágua nº 512, Penha-RJ CEP 21020-050Tel: (21) 3887-4707 www.dreamup.lcom.br contato@dreamup.com.b
Desconto: 30%";;;
"COLÉGIO NOSSA SENHORA VIRGEM DE FÁTIMA -COLÉGIO 21 DE ABRIL CNPJ:10.704.145/0001-27
Av. Bezerra de Menezes, 600, Monte Castelo Tel:(85) 4006-0800
secretaria@colegio21deabril.com.br
Desconto:28% DE DESC ANUIDADE AVISTAS E 22% ANUIDADE PARCELADA";"SOCIEDADE DE ENSINO SUPERIOR PINHEIRO GUIMARÃES
CNPJ:29.242.427/0001-88
Rua Silveira Martins, nºs 151, 153 – Catete – Rio de Janeiro CEP: 22221-000Tel: (21) 2205-0797
www.pinheiroguimaraes.br Desconto: 50% área de jornalismo.";"EAGLE ESCOLA DE IDIOMAS - WIZARD
CNPJ:04.028.248/0001-11
Rua Sete de Setembro, 71, Sobreloja – Centro RJ CEP 20050-005 Tel:(21) 2526-7025
www.wizardrj.com.br leowizardrj@gmail.com Desconto: 20%";;;
"ESCOLA MATERNAL TERNURINHA CNPJ:06.060.503/0001-39
Rua Souza Girão, nº 200-Bairro de Fátima -Fortaleza-CE CEP 60055-370 Tel:(85) 3252-1417
www.gmail.com esternurinnha@gmail.com Desconto:10% DESC";"UNIVERSIDADE CASTELO BRANCO
CNPJ:42.265.413/0001-48
Av. Santa Cruz, nº 1631, Bairro Realengo – RJ – CEP:21.710-255Tel: (21) 3216-7700 – Fax: 2401- 9696
www.castelobranco.br
Desconto: 15% nas mensalidades dos cursos do Ensino Médio dos Colégios deAplicação Paulo Gissoni-CAP , Colégio Castelo Branco-CCB e dos cursos de Ensino Superior de graduação, pós- graduação e MBA.";"FISK - FOLLOW UP LANGUAGE CENTER CURSOS DE IDIOMAS LTDA
CNPJ: 08.602.402/0001-78
Avenida Almirante Barroso, 72, sobreloja - Centro/RJTel:(21) 2262-0249
www.fiskprime.com.br centro.rj@escolasfisk.com.br Desconto: 50%";;;
"INSTITUTO DE EDUCAÇÃO DE OURO PRETO CNPJ:00.123.126/0001-53
Rua Carvalha QDE 13 Ouro Preto Olinda
Tel: (81)3439 9962 e-mail.ieop_1991@hotmail.com Desconto:20%";"ESTÁCIO DE SÁ – PARTICIPAÇÕES S.A.
CNPJ:08.807.432/0001-10
Av. Embaixador Abelardo Bueno, 199 – 6º and. Rio Office Park – Barra daTijuca – RJ
Desconto: 20%";"R3 IDIOMAS – GO UP IDIOMAS CNPJ: 07.541.512/0001-04
Rua Firmino Fragoso, 276 – Madureira – RJ CEP:21351-050
Tel:(21) 301790-5890
www.goupidiomas.com.br        goup@goupidiomas.com.br Desconto: 30% Inglês e Espanhol";;;
